,sku,model,rmse,mape,09/01/2022,10/01/2022,11/01/2022,12/01/2022,01/01/2023,02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,best_model,best_forecast
0,Sales,lr,123.21395078670666,4.332000000000001,378.0,191.0,15.0,339.0,149.0,61.0,247.0,8.0,17.0,175.0,13.0,Best ML,
1,Sales,lasso,123.23420975966543,4.332000000000001,376.0,191.0,15.0,337.0,149.0,61.0,245.0,8.0,17.0,173.0,13.0,,
2,Sales,ridge,123.40444393627776,4.335520000000001,376.0,191.0,15.0,337.0,149.0,61.0,245.0,8.0,17.0,173.0,13.0,,
3,Sales,en,142.31507995160965,5.2485599999999994,340.0,191.0,273.0,283.0,149.0,48.0,193.0,10.0,9.0,126.0,19.0,,
4,Sales,llars,140.84699607566435,5.2006,336.0,191.0,273.0,278.0,149.0,47.0,189.0,10.0,9.0,122.0,19.0,,
5,Sales,pa,176.04349139190367,5.821720000000001,586.0,191.0,109.0,743.0,20.0,177.0,770.0,12.0,133.0,806.0,224.0,,
6,Sales,knn,135.5109135476792,5.074800000000001,41.0,1.0,44.0,14.0,20.0,14.0,1.0,51.0,51.0,17.0,11.0,,
7,Sales,cart,142.65601716796118,5.225779999999999,78.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,,
8,Sales,extra,128.16295878123896,4.72414,78.0,96.0,82.0,82.0,124.0,149.0,15.0,78.0,82.0,1.0,24.0,,
9,Sales,svmr,152.61241502301365,5.542619999999999,22.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,
10,Sales,ada,151.1419777795887,5.102860000000001,51.0,88.0,74.0,1.0,91.0,57.0,15.0,185.0,61.0,91.0,13.0,,
11,Sales,bag,145.06211620139985,5.21916,59.0,287.0,191.0,59.0,210.0,23.0,77.0,77.0,23.0,22.0,114.0,,
12,Sales,rf,143.29730895367615,5.229539999999999,52.0,97.0,54.0,20.0,57.0,149.0,83.0,87.0,32.0,13.0,116.0,,
13,Sales,gbm,137.80581722578162,4.7175400000000005,76.0,64.0,80.0,62.0,80.0,114.0,80.0,131.0,277.0,22.0,76.0,,
14,Sales,AR,69.82754193765176,2.75566,494.0,513.0,492.0,500.0,502.0,498.0,500.0,500.0,499.0,500.0,500.0,,
15,Sales,MA,69.82754193765176,2.75566,494.0,513.0,492.0,500.0,502.0,498.0,500.0,500.0,499.0,500.0,500.0,,
16,Sales,ARMA,69.82754193765176,2.75566,494.0,513.0,492.0,500.0,502.0,498.0,500.0,500.0,499.0,500.0,500.0,,
17,Sales,ARIMA,69.82754193765176,2.75566,494.0,513.0,492.0,500.0,502.0,498.0,500.0,500.0,499.0,500.0,500.0,,
18,Sales,spl_ARIMA,69.82754193765176,2.75566,494.0,513.0,492.0,500.0,502.0,498.0,500.0,500.0,499.0,500.0,500.0,,
19,Sales,Best Forecast,82.15073818784678,1.3646200000000002,499.0,625.0,478.0,558.0,564.0,636.0,584.0,686.0,623.0,689.0,780.0,,
20,Sales,SES,80.36419348605824,1.9595600000000002,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,,
21,Sales,HWES,80.36417033060171,1.9595600000000002,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,,
22,Sales,naive,101.09345618880904,3.0562199999999997,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,,
23,Sales,naive_rept,126.161326881222,4.640680000000001,226.0,287.0,191.0,273.0,210.0,149.0,194.0,185.0,277.0,139.0,192.0,,
24,Sales,naive3,91.6689464115542,3.1036600000000005,437.0,575.0,401.0,437.0,575.0,401.0,437.0,575.0,401.0,437.0,575.0,,
25,Sales,naive6,101.04426289706537,4.08076,357.0,439.0,401.0,437.0,575.0,440.0,357.0,439.0,401.0,437.0,575.0,,
26,Sales,naive12,175.50930306874912,5.63048,289.0,413.0,264.0,342.0,357.0,440.0,357.0,439.0,401.0,437.0,575.0,,
27,Sales,naive12wa,218.90024284888946,6.9056,245.0,289.0,269.0,271.0,283.0,309.0,291.0,364.0,306.0,369.0,417.0,,
28,Sales,sma,69.82754193765176,2.75566,494.0,513.0,492.0,500.0,502.0,498.0,500.0,500.0,499.0,500.0,500.0,,
29,Sales,wma,70.1450321793793,2.72438,503.0,514.0,502.0,507.0,507.0,506.0,506.0,506.0,506.0,506.0,506.0,,
30,Sales,Croston,57.8909171002805,1.7646400000000004,226.0,287.0,191.0,273.0,210.0,149.0,194.0,185.0,277.0,139.0,192.0,,
31,Sales,Best Ensemble,74.79780716432468,1.10926,449.8182903799907,397.1184933905731,347.51868445935673,438.827423628187,385.28217535016927,360.482270884561,412.9002507777784,345.5459647859561,348.0823186517569,392.6094198513717,346.9550502669565,Best TS,1
32,Sales,Baseline Forecast,86.83783737519032,1.6056599999999999,550.9090909090909,393.9090909090909,471.9090909090909,468.9090909090909,569.9090909090909,444.9090909090909,568.9090909090909,530.9090909090909,566.9090909090909,704.9090909090909,536.9090909090909,,
